Tweet,Location,Created_Date,Username,Screen_Name,Polarity,Match
Union University student works with US Attorney at Jackson office  via JSunNews,"Jackson, TN",2019-10-31 13:12:21,Lasherica Thornton,LashericaT,Positive,works
Hollins University enacts new policy allowing transgender students to graduate.  via roanoketimes,Virginia Tech,2019-10-31 13:11:32,Maggie Nanney,mpnanney,Nutral,
dnomyard: Class on the range: Colleges and universities bring #CyberRanges to their security curricula. virginia_tech uofcincy,"Fredericksburg, Virginia",2019-10-31 13:10:54,S7arG33z3r,vastargazer,Nutral,
EKTBanks: Embarrassed UniOfYork has done this. Chinese censorship should not be allowed to creep into UK Universities no matter how lu,,2019-10-31 13:10:53, ,LoveFre21629531,Negative,creep
"GoonerProf: If you are a current or returning university student, this thread is for you: I have taught in higher education for a decad","Fort Worth, TX (Caddo/Wichita)",2019-10-31 13:10:33,Dr. Brooke Byerley Best,BotanyBrooke,Nutral,
"The exodus continues.
This doesnt change global production or consumption.
It doesnt reduce emissions.
What it do",,2019-10-31 13:10:31,Dan Cugnet,incugneto,Nutral,
"kclinnin: If theres an open question mic at any university event, Im going to use it to ask about what our dependence on contingent f","Davis, CA",2019-10-31 13:10:14,Erika Strandjord,rheterika,Nutral,
The new Dean of the College of Business at Bowie State University in Maryland : The Journal of Blacks in Higher Edu,Everywhere,2019-10-31 13:10:14,The HBCU Career Center,HBCUCareerCntr,Nutral,
"AnnetteRoussel2: According to Statistics Canada, Gun control is NOT a GENDER ISSUE. Equality in education &amp; employment, access to activ",Canada my home and native land,2019-10-31 13:10:08,Proud Legal Restricted Firearms Enthusiast,belkage,Nutral,
LocalManWolf: If Makerere is a govt University let government increase its funding to the university by 15% every year. Govt is suppose,Asteroid B-612,2019-10-31 13:09:38,JayMaster,jerrylwoto,Nutral,
nigewillson: 'It's an educational revolution': how AI is transforming university life via  guardian,"Cambridge, MA",2019-10-31 13:09:24,Stacy S.,stanford__ai,Nutral,
"ACroy34: While I wish I could be a Bozeman Hawk forever, after spending plenty of time and consideration I have decided to continue my",,2019-10-31 13:09:05,jordyn zimmer,jordynpzimmer,Nutral,
NewsHour: Do college and university presidents believe their institutions are well-prepared to adapt to the major headwinds facing high,"Arlington, VA",2019-10-31 13:08:57,PBS NewsHour Extra,NewsHourExtra,Nutral,
Cat food and ghost pepper soup: University of Texas closing down Pi Kappa Phi fraternity over hazing allegations,"Texas, USA",2019-10-31 13:08:56,juju,jjsmokkieBOY57,Negative,allegations
BJD4Nayagarh: Today our BCJD members organised a welcoming meeting for the Higher Education minister Sri Arun Kumar Sahoo for the 5T me,,2019-10-31 13:08:17,Pankaj Khatua,khatua_pankaj,Nutral,
"ANDYCAV4: 5 spots left in InternetU

The NEW era of education

Yes were trying to break standards and form our own digital universit",6 Spots for InternetU,2019-10-31 13:06:56,ANDY,ANDYCAV4,Negative,break
This is the new norm...Self-Education:Learn &amp; Earn!  Thanks to amcquinn fbnewsroom #selfeducation #university,"Sydney, Australia",2019-10-31 13:06:46,Berny,myostaff,Nutral,
LHH_onCareers: Companies are adopting the university model and optimizing it for their own labor demands. Kenny Vesey shares two prime,United States,2019-10-31 13:06:42,Lee Hecht Harrison,LHH_Global,Nutral,
SarahJReports: World's first artificial intelligence university to open in Abu Dhabi  #ai #ArtificialIntelligenc,"Erie, Pennsylvania",2019-10-31 13:06:37,Dr. Camille Dempsey ,DrVirtuality,Positive,intelligence
RayTilde: All indigenes of Bauchi State with UTME scores 180 or above who have not secured admission into any Nigerian University shoul,"Kano, Nigeria",2019-10-31 13:06:08,Mahmoud,mahmoud_k_i_dut,Nutral,
Companies are adopting the university model and optimizing it for their own labor demands. Kenny Vesey shares two p,"New York, NY",2019-10-31 13:05:36,Lee Hecht Harrison,LHH_onCareers,Nutral,
JDev65: Fancy a new opportunity? Robert Gordon University in Aberdeen are seeking to appoint a new Professor of,"Glasgow, Scotland",2019-10-31 13:05:24,Lindsay Graham,LindsayGrahamUK,Positive,fancy
"zziwaherbert: #NTVnews : Ministers of Security, Internal Affairs and Education all summoned by parliament to explain the impasse at Mak","Kampala, Uganda",2019-10-31 13:05:15,Tony Glencross,TonyGlencross,Negative,impasse
"VIT_univ: ""Computer Science at VIT has been ranked within 301-400 Universities of the World, by the Times Higher Education (THE), World",London,2019-10-31 13:04:57,Phil Baty,Phil_Baty,Nutral,
"sidney_chest: Times have changed Sweetheart. 

Back then we worked to put a roof over our heads,food on our table,clothes on the kids.","Ontario, Canada",2019-10-31 13:04:47,Doug Davidson,dwdavidson841,Positive,worked
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de","Chandrakona, India",2019-10-31 13:04:42,Netai Charan Ghosal,netai_charan,Nutral,
EDP24: Builder who wanted to help the man on the street leaves 1m to university to help student entrepreneurs,,2019-10-31 13:04:37,mickeygibbons,mickeygibbons,Nutral,
"katecowan: The annual conference of the Comparative Education Society in Europe (CESE) is being held in Reggio Emilia, 26-29 May 2020,",,2019-10-31 13:04:37,janaina,janainao,Nutral,
"Ifechideere: Nigerians love the chains!

What is commendable about some individuals embezzling funds meant to provide power for Univers",,2019-10-31 13:04:13,Freaky Nikky,Tsarina_muna,Positive,"love,commendable"
"VladoBotsvadze: The top 10 countries for future skills education: 

1. Finland 
2. Switzerland 
3. New Zealand 
4. Sweden 
5. C",Finland,2019-10-31 13:04:00,Marjo Pak,PakMarjo,Positive,top
.NationalLouisU recognized that many of its #firstgen students from low-income backgrounds werent making it to,"Austin, Texas",2019-10-31 13:03:59,Michael & Susan Dell Foundation,DellFdn,Nutral,
FranceinKenya: Good morning from TU_Kenya where we are officially launching a new bilateral project in the field of education and impl,,2019-10-31 13:03:59,Diplom@t,diplomatie_info,Positive,good
"easypoliticsUK: Corbyn: Free childcare for ALL 2-4 year olds. A good education from cradle to grave as a RIGHT, not a privilege. And an",,2019-10-31 13:03:37,eve,eveashdownn,Positive,"free,good"
FENews: Putting adult education foremost on the agenda: OU backs CBI report on need to kickstart lifelong learning The Open University,"Somerset, UK",2019-10-31 13:03:24,Nigel Cox,hortology,Positive,foremost
"The newest RAMS Ask-a-Chair podcast features Michael Brown, MD, MSc, professor and founding chair of the Dept. of E","Des Plaines, IL",2019-10-31 13:03:22,SAEM Online,SAEMonline,Nutral,
"OtagoGrad: ""Gender studies, like 'Marxist-Leninism,' are more aptly termed ideology than science, and are an inappropriate matter for u","Ontario, Canada",2019-10-31 13:03:21,Doug Davidson,dwdavidson841,Nutral,"like,inappropriate"
BusinessWire: .BioTalentCanada reimagines the news release with surprising results. Download the case study now:,"Chicago, IL",2019-10-31 13:03:21,Warner PB,Boutonski,Nutral,
adam_kendrick34: Im extremely blessed to announce my commitment to further my education and play Division 1 baseball at Oral Roberts U,,2019-10-31 13:03:08,Coronado Zapata,NorCoronadoJr,Positive,commitment
"Creation Scientists? - via smedian_network

.Medium #medium #blog #religion #christianity #church #Genesis #news",,2019-10-31 13:03:05,Christopher Oldcorn,chrisoldcorn,Nutral,
"ICYMI: theNCI renewed our grant with the University of Puerto Rico to support collaborative research, community ou","Houston, TX",2019-10-31 13:03:01,MD Anderson Cancer Center,MDAndersonNews,Positive,"renewed,support"
My latest blog on #Connected #Campus and the tremendous applicability of #bigdata in the #EDU space.  Lmk what you,"Washington, DC",2019-10-31 13:02:27,Shaun Bierweiler,sbierweiler,Nutral,
"By age 15 all young adults should be out of the twisting
Public Education
learning skills,living in same-sex groups","Burlington, Vermont, USA",2019-10-31 13:02:14,Steven Work,StevWork,Nutral,
FintechCH: Swiss #University Rolls Out #Blockchain Pilot Project to Fight Fake #Diplomas  HSGStGallen #educatio,Zurich/Ho Chi Minh/Singapore,2019-10-31 13:01:56,Christian Knig,finanzprodukt,Negative,fake
"FEUAdvocate: ICYMI: In celebration of the World Teacher's Day, Institute of Education (IE) together with other stakeholders held a foru",Quezon City,2019-10-31 13:01:47,  ,TENGinamo,Positive,celebration
"After watching the Alice Roberts docu on Bristol, this is definitely about time! Bristol University appoints black",England and Wales,2019-10-31 13:01:45,Teach First Ambassadors,TF_Ambassadors,Nutral,
RayTilde: All indigenes of Bauchi State with UTME scores 180 or above who have not secured admission into any Nigerian University shoul,"Kano, Nigeria",2019-10-31 13:01:43,,Bashwhite,Nutral,
"Dr. Alicja Rieger, professor of special education, is the recipient of Valdosta State Universitys 2019 Presidentia",Valdosta State University,2019-10-31 13:01:25,ValdostaStateNews,Vstatenews,Nutral,
SoudyBaseball: Congratulations to 2020 C/1B Frank Pollock who will be attending the University of the Sciences to continue his educatio,"Souderton, PA",2019-10-31 13:01:25,SAHS Athletics,AthleticsSahs,Positive,congratulations
"ReviewReligions: Education: Key to building a successful society  

In light of the Caliph's address at #UNESCO, Paris, the Ahmadiyya",Singapore,2019-10-31 13:01:16,saedah,SMarmien,Positive,successful
"AnahitaAredvi nellslad ARMilani_ GeorgeAylett Many of these are hobbies not education.
Learning these particula",,2019-10-31 13:00:57,Sheila,Sheila45005286,Nutral,
Free Education University - Is a 17 course curriculum that teaches you how to find the right financial opportunitie,USA,2019-10-31 13:00:38,Johny Cool | Best of the Best,Sondsajohn,Positive,"free,right"
Kercinogen: The cost for university education is actually ridiculous given that you teach yourself 80% of the curriculum.,The Court of Dreams,2019-10-31 13:00:26,Hot Girl Mo ,mochaamonique,Negative,ridiculous
The power of #association. World class #sales education. Power Sales University and #successmagazine #discount,"Phoenix, AZ",2019-10-31 13:00:08,Adam Jayme,LifeLeadership4,Nutral,
"Join Oregon State Universitys Scott Ashford, Dean of Engineering, and researchers from the Kelley Engineering Cent","San Jose, CA",2019-10-31 13:00:06,Darrin Johnson,darrinpjohnson,Nutral,
Middle Tennessee State University has signed an agreement to extend the MTSU Promise to Volunteer State Community,"Murfreesboro, Tenn.",2019-10-31 13:00:05,Murfreesboro Post,Mboro_Post,Positive,promise
Great news! Our graduates of the Level 3 International Foundation Diploma for Higher Education Studies can now appl,"Manchester, United Kingdom",2019-10-31 13:00:04,NCC Education,NCCEducation,Positive,great
"The Dean of the College of Health and Behavioral Sciences at the University of Central Arkansas, my Dean, is retiri","Conway, AR",2019-10-31 12:59:25,Nina Roofe,NRoofe,Nutral,
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de",,2019-10-31 12:59:23,Sudarshan Nayak,sudarshannayak,Nutral,
SCMPNews: Dozens of Hong Kong Polytechnic University students defy managements warning by wearing masks during their graduation ceremo,,2019-10-31 12:59:19,Marta,martarozpide,Negative,"defy,warning"
"TheScotsman: 300,000-a-year Dundee University principal suspended for allegedly not paying rent","Nice, France",2019-10-31 12:59:09,marie charazac,charazacavocat,Nutral,
"BBC_Teach: The Bristol University report says that factors such as ethnicity, free meals and special needs should be considered.","Birmingham, West Midlands, UK ",2019-10-31 12:58:46,Birmingham Education,BirminghamEdu,Positive,free
isiomaokoh: MomentsWithBren You are a blessing to the twitter community. There's so much to learn on your TL. This is what social medi,Learn. Grow. Succeed,2019-10-31 12:58:20,Bren ,MomentsWithBren,Positive,blessing
"300,000-a-year Dundee University principal suspended for allegedly not paying rent",Scotland,2019-10-31 12:58:02,The Scotsman,TheScotsman,Nutral,
"All districts/schools follow Sea to Sky's lead!  #education #INDIGENOUS
#surreyschools #frankhurt Surrey_Schools","Vancouver, British Columbia",2019-10-31 12:57:55,Melanie Scheuer,mel_scheuer,Nutral,
"TaylorLorenz 0855ET Article buries the lead: The primary indicator of maternal mortality is being Black, irrespect",Toronto,2019-10-31 12:57:54,Saleem Khan | #JOVRNALISM founder,saleemkhan,Nutral,
boonelariah: Incredibly excited to announce my verbal commitment to further my education and play division 2 soccer at Missouri Souther,,2019-10-31 12:57:52,brooke bierbaum,brookebierbaum,Positive,"incredibly,excited,commitment"
TapNewsAgency: #Tunisia: MESRSTunisie shuts down for first time private university and subjects seven others to thorough inspection af,,2019-10-31 12:57:29,L'observateur,Lobserv27891557,Nutral,
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de", India,2019-10-31 12:57:26,Ramesh chand,Ramesh_cb49,Nutral,
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de","Chhattisgarh, India",2019-10-31 12:57:06,Neelam Choubey,Wisdom__stone,Nutral,
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de","Ranchi, India",2019-10-31 12:56:56,Rahil Khan,RahilKh14667573,Nutral,
Aisha56567186: Mohamadlapai Abdyusuf1984 Banjy47 ElderAdewuyi1 Ayourb ishakaa IsuphJt iyaboawokoya Funkemyfun teguando1 tfx4,The Streets (La Isla Loco) ,2019-10-31 12:56:44,M.Halilu,Mohamadlapai,Nutral,
"SubDeliveryZone This is dumb, Is this a university of secondary school? 
Understanding the mind of young adult hav",I Dey Kampe,2019-10-31 12:56:19,Chuka Arinze,ChukaThaBoss,Nutral,
RBGE_Plant_Rec: TheBotanics SchGardeners RBGE_Education RBGE_Science and another group today for day 2 - It's from within these gro,,2019-10-31 12:56:04,RBGE Education,RBGE_Education,Nutral,
"Yesterday, the University of Michigan announced plans for a $300 million Detroit Center for Innovation to foster de","U of Michigan, Ann Arbor",2019-10-31 12:55:18,Business+Impact at Michigan Ross,RossBizImpact,Positive,innovation
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de","Amroha, Uttar Pradesh, India",2019-10-31 12:55:15,Ch.Y.P. Banga,banga_ch,Nutral,
KayceeMaduYEG Youve sold your soul... stand up for Edmontonians.  Stand up for Albertans.  The UCP are destroying,,2019-10-31 12:54:53,bkgolfer,BrendaKuzio,Nutral,
Business continuity. Fire in California impacts users 9000 kilometers away. From Safari O'Reilly for Higher Educati,"Espoo, Finland",2019-10-31 12:54:51,Glen Koskela,glenkoskela,Nutral,
davylyonsauthor ijclark SKZCartoons Sara_Rose_G Almost always voted against an annual tax on the value of expen,"Bristol, England",2019-10-31 12:54:28,   ,richshillitoe,Nutral,
IsaiahJBlanco: Thankful to have received an offer to continue my education and football career at the University of Wisconsin-River Fal,"Chandler, AZ",2019-10-31 12:54:17,Glenn Shough,glenn_shough,Positive,thankful
"Were all about keeping our community healthy, so we teamed up with Morehead State University once again to offer t","Morehead, KY",2019-10-31 12:54:11,St Claire HealthCare,SCRmedical,Nutral,
"PhD at NC A&amp;T - Virtual Open House - Counselor Education Program, North Carolina Central University",Raleighwood,2019-10-31 12:54:11,journeypro,journeypro,Nutral,
"OfficialMUL: Dr. Murad Ras, Provincial Minister for School Education , Punjab was on a visit at MUL to meet Dr. Hussain Mohi-Ud-Din Qad","Sheikhupura Punjab,Pakistan",2019-10-31 12:54:05,A Y U B,AyubMustafavi92,Nutral,
Anxious about starting university  or just missing the dog? Students who have been there shared their top tips:,"Belleville, Ontario",2019-10-31 12:54:00,MoodDisorders Canada,MoodDisordersCa,Nutral,"anxious,top"
"PhD at NC A&amp;T - Virtual Open House - Counselor Education Program, North Carolina Central University",Raleighwood,2019-10-31 12:53:44,journeypro,journeypro,Nutral,
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de","Bengaluru, India",2019-10-31 12:53:17,krishna Gupta (kd),kd18671867,Nutral,
RayTilde: All indigenes of Bauchi State with UTME scores 180 or above who have not secured admission into any Nigerian University shoul,,2019-10-31 12:53:10,Aminu Aminu Ibrahim,AminuAminuIbra2,Nutral,
teirdes lukOlejnik CyberAlexi Could make a good minor subject. I could myself as an aside to MSc. Or I could hav,,2019-10-31 12:52:44,Veikko Eeva,veikkoeeva,Positive,good
Incredibly excited to announce my verbal commitment to further my education and play division 2 soccer at Missouri,,2019-10-31 12:52:29,Lariah Boone,boonelariah,Positive,"incredibly,excited,commitment"
"Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening",,2019-10-31 12:52:04,Kailash Satyarthi,k_satyarthi,Nutral,
"If youre not thinking about

University tuition fees
Disability cuts
Bedroom Tax
Junior Doctor contracts
Grenfell",#family,2019-10-31 12:51:53,therealkimbo,NeilKimish,Nutral,
"Wright_Worx: Our Founder &amp; CEO, Darius Wright, was born and raised in Durham, NC.

He graduated from North Carolina Agricultural &amp; Tec",VA,2019-10-31 12:51:32,M.$pence,supreme__spence,Nutral,
"OtagoGrad: JanisIrwin Our AB govt spent nearly $2,700 per capita compared to B.C. in 2017; that's 25% more per person.

For every pers","Alberta, Canada",2019-10-31 12:51:19,Pam ,murphmom02,Nutral,
"cuyadams: The next chapter...

Extremely excited to have the opportunity to continue my education career along with cross country and t","Houston, TX",2019-10-31 12:51:08,Kenny M Gakumba,KGakumba,Positive,excited
cookieclose timnjillgreen important_89 _kljx jeremycorbyn dianneabbott EmilyThornberry _DHOTYA Again you ar,"Yorkshire and The Humber, ",2019-10-31 12:50:40,A-Foot Chiropodists & Podiatrists,sarah_venard,Nutral,
RayTilde: All indigenes of Bauchi State with UTME scores 180 or above who have not secured admission into any Nigerian University shoul,"Gashua, Yobe, Nigeria.",2019-10-31 12:50:21,Umar A Tukur,UATukur,Nutral,
"Black_Heroes_: On May 13, 2006, he received anhonorary doctoratein education fromMissouri Western State Universitywhere he also gav","Tallahassee, FL",2019-10-31 12:50:15,Rico The Champ,ricothechamp,Nutral,
Blockchains and their impacts on Higher Education. Kiran Kodithala. KiranKodithala N2NServicesInc,Sevilla,2019-10-31 12:50:04,Juan Jos Caldern Amador,eraser,Nutral,
"ProfessorJVH: Dr. Julian Vasquez Heilig, another scholar and administrator who has researched the subject, concurs. Heilig, who is dean",,2019-10-31 12:49:05,Network4PublicEd,Network4pubEd,Nutral,
MandyMathEd: The University of Delaware is also searching for a tenure track faculty member at the assistant professor level in mathema,"Oakland, CA",2019-10-31 12:47:54,"Dana Miller-Cotto, Ph.D.",danacotto,Nutral,
Public universities taking the lead in building the #workforce of the future in #cybersecurity through experiential,Philadelphia,2019-10-31 12:47:51,Deirdre Woods,deirdre_woods,Positive,lead
So many groups  including  shopmyexchange ATT BP_plc MurphyUSA OneidaNationWI QuikTrip 7eleven Tanknology,,2019-10-31 12:47:02,Source North America,SourceNA,Nutral,
advocatemahere: This Govt is doing nothing to act on the leakages of public exams. When students who cheated in exams end up in univers,,2019-10-31 12:46:48,Angeline Zenda Ncube,SugarAngieChoc,Negative,"leakages,cheated"
Operation koboko for adults. All this glorified secondary school in the name of university education.,lagos ,2019-10-31 12:46:04,Nwa Ngwa,ximplychizzy,Nutral,
Heres a strange idea  what if a university marketed itself as a place to acquire an education?,"Tennessee, USA",2019-10-31 12:45:58,Jane Marcellus,janemarcellus,Negative,strange
"...Well be inviting the stakeholders from the University of The Gambia, and Ministry of Higher Education, Research",Kairaba Avenue-Comium Building,2019-10-31 12:45:24,"American Corner, The Gambia",ACornerBanjul,Nutral,
Please  &gt;&gt; Free Education University - How to graduate DEBT FREE! Get 75% off for a limited time!  Link in Bio,USA,2019-10-31 12:45:22,Soliaka - Free Education University,Camswr_73js,Negative,"free,debt,limited"
SimonPGrindrod: I reject this nasty habit of shaming people for their education level. Pieces of paper do not define an individual. Som,"Gaborone, Botswana",2019-10-31 12:44:28,Zaaheda Waja,mrswaja,Negative,"reject,nasty"
iamsrk: On the way to latrobe University.. Thank you for the kind gesture of offering a scholarship to a girl student from India for h,,2019-10-31 12:43:36,Aryan khan,Aryankh88540014,Positive,thank
AlunPlaidCymru: Arfon Plaid_Cymru AM siangwenfelin welcoming new trainee doctors to #Bangor following her campaign to expand medical,Llandyfan a Llundain,2019-10-31 12:43:01,Eirug Daniel Roberts,RobertsEirug,Nutral,
"limeandonion: If anyone still believes that a higher education indicates that someone possesses superior intelligence, this is my perio",Cheltenham,2019-10-31 12:42:16,Wilf McGregor,McG71,Positive,superior
elind_51: I am beyond blessed to announce that I have committed to play baseball and further my education at The University of Tampa #G,,2019-10-31 12:42:01,Joe Urso,Utbaseball7,Nutral,
Kercinogen: The cost for university education is actually ridiculous given that you teach yourself 80% of the curriculum.,,2019-10-31 12:41:58,Sabrina McNeill,Emperatriz_Sab,Negative,ridiculous
"FreddieBailey96: Funny how some people argue that we cannot afford to make University Education free.

It's free in Scotland.
#VoteLabo",,2019-10-31 12:41:29,Agentsideways,agentsideways,Positive,"funny,afford,free"
"Markie_Jay06: Considering a PhD? Interested in studying race, space, and education reform? Enjoy yearlong sunshine?

You should come","West Lafayette, IN",2019-10-31 12:40:45,Zachary Brown,zacbrowniac,Positive,enjoy
"University for Sports
 Mohalla Clinic
 Free Coaching for IIT
 Door step delivery
 Free Transport/Water/Electr",India,2019-10-31 12:40:34,Sourabh ,SourabhJainIET,Positive,free
korayylcn Hey dude I have been studying at university for 4.5 years. There wasn't even 1 day that I haven't got ne,"Kurtky, stanbul",2019-10-31 12:40:30,MUSTAFA TALHA EKER,mustafatalhaekr,Nutral,
"#fullsailconnect company in the Education industry. Its headquarters is based in Winter Park, FL. You can access Fu",,2019-10-31 12:40:10,tania sultana,taniasu30504929,Nutral,
"Trend, now?:"" UMich to build 'innovation center' on old Wayne County jail site, returns to Detroit""","T: 39.70577,-104.957766",2019-10-31 12:40:02,JB Holston,jholston,Nutral,
nigewillson: 'It's an educational revolution': how AI is transforming university life via  guardian  #ai #Artif,"ringwood, uk",2019-10-31 12:40:00,Nige Willson,nigewillson,Nutral,
VaCyberRange: Virginia Cyber Range in the news!  Class on the range: Colleges and universities bring #CyberRanges to their security cu,Philadelphia,2019-10-31 12:38:11,Deirdre Woods,deirdre_woods,Nutral,
"MaiadashiYI: JAMB ADMISSION for Bauchi State Indigenes

All indigenes of Bauchi State with UTME scores 180 or above who have not secure","New Orleans, LA",2019-10-31 12:37:06,Yussufbn,Yuf_bn_,Positive,secure
BrianFrosh Because this cnt has been profiting (like Trump University) off of private education.  Education Secret,,2019-10-31 12:36:56,Canadian Mom,CanadianMom4,Positive,trump
JoanneCappa: Cardinal Parolin at the Pontifical University Lateranese this morning telling us of the Popes aim to develop a Global Edu,,2019-10-31 12:36:42,Fides Agenzia,fidesorg,Nutral,
.BioTalentCanada reimagines the news release with surprising results. Download the case study now:,"San Francisco, CA",2019-10-31 12:35:59,Business Wire,BusinessWire,Nutral,
