Word,Frequency,Polarity
loyal,1,Positive
champion,1,Positive
endorse,1,Positive
refreshing,2,Positive
loves,1,Positive
rapid,1,Positive
modest,1,Positive
rich,1,Positive
fine,1,Positive
reconciliation,1,Positive
cooperative,1,Positive
flexibility,1,Positive
trust,3,Positive
precious,1,Positive
badly,1,Negative
warning,29,Negative
refuses,6,Negative
shake,5,Negative
problem,55,Negative
critical,49,Negative
anxious,2,Negative
creep,1,Negative
allegations,12,Negative
break,4,Negative
impasse,6,Negative
inappropriate,6,Negative
fake,6,Negative
ridiculous,3,Negative
defy,27,Negative
leakages,8,Negative
cheated,8,Negative
strange,8,Negative
debt,20,Negative
limited,19,Negative
reject,9,Negative
nasty,8,Negative
funny,28,Negative
harassment,3,Negative
racist,10,Negative
tangled,1,Negative
complaints,2,Negative
attack,6,Negative
violent,7,Negative
crime,7,Negative
denounce,29,Negative
abolish,1,Negative
disadvantaged,1,Negative
sorry,3,Negative
disagree,1,Negative
irritate,1,Negative
breakdown,3,Negative
restricted,12,Negative
randomly,6,Negative
fall,5,Negative
died,5,Negative
suicide,4,Negative
rough,1,Negative
grudgingly,2,Negative
lost,3,Negative
damn,1,Negative
offence,2,Negative
oversight,2,Negative
losing,6,Negative
failing,6,Negative
failed,6,Negative
threat,5,Negative
beg,2,Negative
illegal,2,Negative
risk,8,Negative
dismal,2,Negative
urgent,6,Negative
vice,9,Negative
worry,2,Negative
miss,3,Negative
poverty,2,Negative
unable,11,Negative
broken,2,Negative
tenuous,1,Negative
concerns,2,Negative
insulted,1,Negative
hell,1,Negative
doubt,1,Negative
shocking,4,Negative
lack,16,Negative
slowly,1,Negative
prison,3,Negative
unrest,6,Negative
waste,2,Negative
drop-outs,1,Negative
shock,1,Negative
denied,4,Negative
breaking,26,Negative
strike,1,Negative
worrying,1,Negative
discrimination,1,Negative
anxiety,1,Negative
odd,1,Negative
isolate,3,Negative
na,1,Negative
poorest,1,Negative
struggle,1,Negative
hum,1,Negative
numb,1,Negative
undermine,1,Negative
wrestle,3,Negative
undermining,2,Negative
expensive,3,Negative
bad,3,Negative
damage,2,Negative
lie,4,Negative
slave,1,Negative
scary,1,Negative
underestimate,1,Negative
loopholes,1,Negative
indifference,1,Negative
rejected,6,Negative
trouble,2,Negative
despicable,1,Negative
maniac,1,Negative
distracting,5,Negative
attacks,5,Negative
issues,1,Negative
protest,5,Negative
concerned,6,Negative
corruption,1,Negative
syndrome,1,Negative
devastated,1,Negative
idiots,1,Negative
useless,1,Negative
worrisome,1,Negative
fallout,1,Negative
flawed,1,Negative
corrupt,1,Negative
kill,1,Negative
utterly,2,Negative
unsuccessful,1,Negative
stupid,6,Negative
cons,1,Negative
fuck,1,Negative
criticism,4,Negative
tragedy,2,Negative
lapse,1,Negative
blame,1,Negative
guilty,2,Negative
fraud,1,Negative
rhetoric,1,Negative
insults,1,Negative
allegation,1,Negative
abuse,1,Negative
pretend,1,Negative
marginally,1,Negative
hard,4,Negative
indoctrination,3,Negative
morons,1,Negative
depressed,1,Negative
frustrating,1,Negative
complaint,1,Negative
hurt,1,Negative
belated,1,Negative
orphan,1,Negative
ignorance,1,Negative
limit,2,Negative
guilt,1,Negative
unemployed,1,Negative
detrimental,1,Negative
conservative,2,Negative
scared,1,Negative
difficult,1,Negative
issue,8,Negative
lazy,2,Negative
broke,2,Negative
overrated,2,Negative
refused,1,Negative
ludicrous,1,Negative
cloud,1,Negative
fascist,1,Negative
pain,2,Negative
severe,3,Negative
dull,1,Negative
ignorant,1,Negative
fallen,1,Negative
risks,2,Negative
despair,1,Negative
scam,1,Negative
unfinished,2,Negative
dirt,2,Negative
toxic,2,Negative
disabled,2,Negative
overwhelming,1,Negative
queer,1,Negative
bullies,2,Negative
sad,1,Negative
racism,1,Negative
stuck,1,Negative
horrible,1,Negative
